SEXO,NIVEL EDUCATIVO,ESTADO CIVIL,OCUPACIÓN,REGIMEN SEGURIDAD SOCIAL,INGRESOS MENSUALES,GRUPO POBLACIONAL,ÉTNICO,CICLO DE VIDA,CAMPESINO,DISCAPACIDAD,LOCALIDAD,CABILDO,BARRIO/CORREGIMIENTO,SECTOR,FECHA DE RESOLUCIÓN,ENTIDAD DISTRITAL QUE ASIGNA EL SUBSIDIO,TIPO DE MEJORAMIENTO,VALOR DEL SUBSIDIO
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Media (10.o - 13.o),Unión libre,Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Damnificados,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Media (10.o - 13.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),Si,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),Si,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Media (10.o - 13.o),Casado(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,"Raizal del archipiélago de San Andrés, Providencia y Santa Catalina",ADULTEZ (29-59),Si,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Viudo(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Viudo(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Media (10.o - 13.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Entre 1 y 2 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Ninguna,Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Técnico o tecnológico (1 - 4),Soltero(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,No sabe,Menor a 1 SMMLV,Víctima Conflicto Armado,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Ninguno,Viudo(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),Si,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),No tiene,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Técnico o tecnológico (1 - 4),Separado(a) o divorciado(a),Empleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Media (10.o - 13.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Víctima Conflicto Armado,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Ninguno,Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Viudo(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Técnico o tecnológico (1 - 4),Soltero(a),Empleado,Contributivo (EPS),Menor a 1 SMMLV,Ninguno,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Viudo(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Técnico o tecnológico (1 - 4),Soltero(a),Estudiante,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Separado(a) o divorciado(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Técnico o tecnológico (1 - 4),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Empleado,Subsidiado (EPS-S),Entre 1 y 2 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Desempleado,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Soltero(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Media (10.o - 13.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Soltero(a),Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Ninguno,Soltero(a),Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Ninguna,Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Soltero(a),Ama de Casa/Cuidador,Ninguna,Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
